,City,Population,Latitude,Longitude,Country
104,Kriva Palanka,20820.0,42.2019444,22.3319444,North Macedonia
105,Boldumsaz,21160.0,42.1333333,59.6666667,Turkmenistan
106,Akdepe,14177.0,42.05,59.4,Turkmenistan
107,Sinop,34827.0,42.026829,35.162525,Turkey
108,Mozelos,7229.0,41.866667,-8.4,Portugal
109,Vila Praia de Âncora,4987.0,41.810976,-8.852547999999999,Portugal
110,Qabaqçöl,1293.0,41.72,46.264722,Azerbaijan
111,Orménion,750.0,41.7191667,26.214444399999994,Greece
112,Díkaia,737.0,41.7041667,26.2933333,Greece
113,Edirne,126535.0,41.675745,26.558665,Turkey
114,Sollar,205.0,41.639727,48.664408,Azerbaijan
115,Bagratashen,3024.0,41.2458333,44.8211111,Armenia
116,Berdavan,3150.0,41.2027778,45.0033333,Armenia
117,Naugarzan,877.0,40.9333333,70.55,Tajikistan
118,Asht,11705.0,40.6666667,70.33333329999999,Tajikistan
119,Parsabad,101715.0,39.6482,47.9174,"Iran, Islamic Republic of"
120,Maku,41517.0,39.2944,44.4809,"Iran, Islamic Republic of"
121,Seoul,10323448.0,37.5985,126.9783,"Korea, Republic of"
122,Qarqin,15023.0,37.404464,66.074375,Afghanistan
123,Cah Ab,23424.0,37.397734,69.814644,Afghanistan
124,Manzil Jamil,21542.0,37.23618,9.91448,Tunisia
125,Rafraf,9255.0,37.19043,10.183648,Tunisia
126,Tigzirt,19748.0,36.89388889999999,4.1225,Algeria
127,Dahuk,129127.0,36.8658333,42.9997222,Iraq
128,Timizart,41398.0,36.8,4.2666667,Algeria
129,Manbij,105420.0,36.5266667,37.95638889999999,Syrian Arab Republic
130,Tall Kayf,23613.0,36.4894444,43.1191667,Iraq
131,Hunza,15606.0,36.318987,74.664273,Pakistan
132,Aleppo,2139878.0,36.2027778,37.1586111,Syrian Arab Republic
133,Gibraltar,26544.0,36.1333333,-5.35,Gibraltar
134,Gharb,971.0,36.06,14.208889,Malta
135,Ghasri,364.0,36.057778000000006,14.226389,Malta
136,Gilgit,9891.0,35.918685,74.312451,Pakistan
